,,,H,NH4,Li,Na,K,Mg,Ca,Ba,Fe,FeX,Cu,Ag,Zn,Pb,Al
,,,1,1,1,1,1,2,2,2,2,3,2,1,2,2,3
,,,1.0078,18.0372,6.938,22.99,39.098,24.305,40.078,137.33,55.845,55.845,63.546,107.87,65.38,207.2,26.982
F,-1,18.998,1,s,1,s,s,0,0,1,1,1,s,s,s,0,1
Cl,-1,35.446,s,s,s,s,s,s,s,s,s,s,s,0,s,0,s
Br,-1,79.904,s,s,s,s,s,s,s,s,s,s,s,0,s,1,s
I,-1,126.9,s,s,s,s,s,s,s,s,s,-,-,0,-,0,s
ClO3,-1,83.443,s,s,s,s,s,s,s,s,-,s,-,s,-,s,s
OH,-1,17.0068,-,1,s,s,s,0,1,s,0,0,0,1,0,0,0
SO3,-2,80.056,1,s,s,s,s,s,0,0,-,-,-,0,0,0,-
SO4,-2,96.055,s,s,s,s,s,s,1,0,s,s,s,1,s,0,s
CO3,-2,60.006,1,s,s,s,s,0,0,0,0,-,0,0,0,0,-
NO2,-1,46.004,1,s,s,s,s,s,s,s,-,-,-,0,-,s,-
NO3,-1,62.003,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
PO4,-3,94.97,1,s,0,s,s,0,0,0,0,0,0,0,0,0,0
